Sampled text is:
რღთაბრი ვორმიბიბი
მელაზ შავანიძე
გიოლა ვალვაძე
გარია საბიანი
ილი
სასტა თაბაიანი
კოლო მირბანიანი
დაფი
ვხულა შონიზარტარი
გამიკოსდანიძე
ოლიო ჩალიძე
იასესსდბდაბარგი გორმიშალი
მანიკორგი საბაძე
ვილიოზრ ბალავალი
ნისეთ ვაგაბელი
გივი რიფიძე
გივი გიდჭაშიძე
რივონლ ფოტაბიძე
შალაუ ნახიანელი
ქოხესს ფჭაერდიშვილი
მიტო თივაძე
სრამოყ იომაბიძე
გიოლა კაფაშვილი
ხაქსის კიროლიშვილი
კოშერსანდრი მაკაშალი
ალიკა შამიშვილი
აზზობა არმანიშვილი
გიორგი ბამაზაშვილი
ანიკო ომერანიძე
გოტოკ ობაშავილი
ინიქთანა ააბაშვილი
მავით ჩოქბოლიშვილი
შავით კდივია
გოვით შვვლიანი
მარა სუთადანვალი
ათუთა ბარალაა
ალვა გეკოელი
მერეთ ლიაშვილი
ლატრა გრამააძე
გიორგი კელეშვილი
ტიმიმომა მეყიშვილი
გატი სარლოანი
ალეა ფივამიშვილი
გიორგი ლაკაშვილი
დაზად მაჩივანი
გიორგი ვაბიშვალი
ალზო ოთაბაშვილი
ჯოსი არბალიძე
სალვა დურდაძე
ლვითო შილელი
დავათ გოგურაშვილი
ალიქაძ გურაკილი
ხათუთ ვარმაშვიალი
გიარ გატადიოველი
მთაურ პაბავანი
გიორგი გალიოძე
თულა მარბიძე
ლია ოლონიანი
ვალვაფ დრილაწავა
დავით მურმიშარი
ბალია ულაშდიძე
კარვია წილითაშვილი
ფიზო ქხოლალა
იარე აბათურიალი
მანუ მურტიკარიძე
გისატლ ტაჭაანიძე
იოტიმ სრნიბავაშვილი
გიიოლიო ხამიბა
იანი
ნიო სიფაშვილი
შალვა ვალასაძე
მარამი ნაშვიშატი
ნიკოტონი ამაყურიიშალი
ამან ბატიძე
სადრაკარ გალიაშვილი
მუვაბ ჩურმიანი
იანდრა ბაცრადი
