Sampled text is:
ენი
შოსტან ჩოლოყაშვლილი
ათაბ ქულხაძი
თომრო მინადაშვილი
გუტუ კამუაკე
მერტან კლედაძე
გიორგიი ლოჭოოდელი
ხვორსაბუ საჩოვანი
მურა კლიმაუა
დაური ელემანი
გიოლოზი ყეხტონიშვილი
დირიგსი სიბანიძე
ვიქსებონ ბაგიშვირი
პავი სოგუაშვილი
ზზაჭავა გიონი
ნიაკა მადიშალი
ანსოზსნერ ჩაბონიძე
ერუნო კაქხაძე
ნიურ ეგუანა
ვაჟა მურმელია
ბასუო ჩონომეშვილი
მირიკო თასია
ნიკო ტამაშიძე
ტერექლიანიანი
შოთა სელაბეძე
გიორგი მახბედია
დურისო მირაშვილი
მამით დახომიშვილი
ჯადუა ჩიფორეკი
მიმეი შავვილი
ხურაი სხთავავი
იმება შელომელაძე
გერისია გირესსელრშანიძე
გრიგორ ობაშაქიანი
სოსეონ აბობესდიშვილი
ვიზო თუიმაშვილი
მვივით გურმელიძე
ხულაკო აბუბანი
ელიოლ ატარიშვალიურაშალა ატიტიძე
გიორსი ლაღრაპაკალი
შალვა მარმგიშვილი
მაშვოთავაშვილი
გივიო გაუხიშვილი
ზამა ოლაგიაშვილი
გოგიონ ვაფაძე
ჟერსაბ ბოჩლაძე
როელო მიწიშვილი
მიხეილ ვბილაშვილი
ანია თავაჩაძე
ხელვაკონებე აბოშელი
პაჟია თემანეშვილი
რუხვიმა მელოშვილი
გიორგი დახავიშვილი
ტავია ჩაქვაშვილი
ამარუ ჩაშვალი
შათვა ჩამარიანი
სატოუ გიხიგიაშვილი
დურითოლ ემიხელი
იეორლი ეფიები
ხუიელ უკაღია
გირი საფტანიძე
სუმანდი დობელიძე
გიი ძრელავაშვილი
ხზიოსსო ტეთოძე
იოსებ ბტოლიძე
ვორმებ კელაღიშვილი
ანტო ობესიკაშვილი
ზურა გარჯაშვილი
ხავია თევიძე
ტრიგოლ ორბელია
მერრო თულაშვილი
მევანა კივრიძე
ორმეზ ნიკანიშვილი
ანიო გურეგიშვილი
ნიკოლოზტერი ევოლაშვილი
გიორგი აბებეკეიძე
კეგია გთეული
ნიორგი ცუხაური
გიორ აურამიკავი
ხუგი სულოკუძე
ჯონრი ნახადიშვილი
შალვაა მამრილავა
ქვარია ჩუგავაშვილი
გიორგი სოფხავი
მარაბ აკარიშვილი
მამაიმ ვურტათი
დავარო ფვაშვიძე
სენტო ობელია
ურია გიმუმაძე
დოდერციძე
ერაბვილაშვალი
ალოო შასხთოძე
ჯანჯიშორ ააშიძე
ჩლევადაშვილი
მავდია გომაშუიელი
იოსებ ნხიწიენი
ითო დლადაძე
რიმომ მულავა
კოჯინ შოგბელიძე
იოსესრო ობძეშვილი
იოსონ ზუთომონიძე

მიმე კიაკაშვილი
შვითა ტიხუძე
ნიო გილაარლი
ალახი საჩჩუმაძე
პოტრო აბაზიძე
ალხასჯონ გობუქვალი
ულაბ ქვალიძე
ვოლაზ ფრიყანიძე
ხურბებალი
შოთა თინმესაშვილი
მიხეით შვათოშვილი
მიხეილ თარააძე
სერლისან წარხიძე
პაოხია ნიბედანეძე
გიარგი ვეთაშვილი
გზიგო მამძერგიგიო დაბიანიშალი
შალვატონ ჩატულე
ბეზე აბრავიშვილი
იოსებ სალაძე
მივე ოჩბაძა
მედერ ბანცკივაძე
ბერაბ გალავანი
გიბი ბრალაძე
კარელიმარ გიდაშვილი
ხეხეტისბერონზანი
მეხთათ ხარმათაშვლილი
იაქებ დსხვიძე
გრიგოლ ტავაზიშვილი
შალვა ატიაძე
გიგიგი სუგაკუშვილი
გიგიგოლ აბონიშვილი
ნისეორ სოულიშვილი
ანაბ გაჭაიშვილე
იმერგ ეღსაჩაუსე
სენიპორი თორლაშვილი
ალიო საფრათოგიაშვილი
დავით გრიელი
დეთაშვა ბაბიდიანი
სევასა თოძენი
ბეიანი ლოთაძე
ჯანობ ფუ ქდოვვილი
შოთე ქალხუდაშვილი
დრიმი ლოხითიშვილი
ზუწუბ ფულოდაძე
სირუ გელაშვილი
ხუხიძო დურაძე
სეტსან კორაბა
აანი
კა გურებიკანიშა
კახიო ობამიშვილი
მუროჭან გავანიძე
გიორგი ლობაკიშვილი
კანიმონ ერლელი
გეიხორგი ოფაშიძე
გრიგილ აჭაბაშიძე
იაებო დახიენი
ტურაკზი ლიდაშვილი
ზურაკალ მაშვალი
ალანო დარიშაძე
ჯელარჩი ქხონვიანი
შალვა ამირკულია
ზურვან თიმიზურე
ზრაუ
გიბორელიშვილი
იოსებ სონსანი
გიორ გიგელიანი
ალექსონ ვაჩარი
გურამიგირიოლი
ვათა ჩარგოკიანი
დევიგო ოფიძეური
გიო სხოგიანიძე
გიორგი კონგელაძი
იოსებ სრემხემავი
ნემოერ გუგიშვილი
ზუზარ ქაგლიძე
გრიგოლ აბოთეშვილი
მამუკა გიიძეშვილი
ზურა ოემანიშვილი
ზუტა ოლგიელი
დევარშკელაძე
ბრილოლონატაა ამბელიძე
დოსულან ბანანიშვილი
დვისდაზარონა მიდბაბიძე
გიორგი ცადანიძე
მერყანიკაშვილი
მიხეილ აბბიძეშვილი
გივი ანსურამი
სემან ჩავაკუძე
დერუბ ბულმაძე
რეკელზიძენეზტეზ აბარიძე
გიორგიილ ავიანი
ქაურ აბუყაძე
ალითინ კონელი
გავია გეპონუდე
მეგუ ვარჩოჩზანი
სერობგილ პოვიქელი
ზურამლე ურობაშვილი
ზუდაკობ გრაჭიძე
დლეტრელ ატავაძე
ტერჯი ფუგედივილე
სომით მუნაშვილი
შალვა გოლეუკა
ვივა ნაგუაშვილი
ილო ბულმაუიძე
ილაბ ელაციძე
გზორგი კუკაყაშვილი
ანიო ალინიძე
გიორგი ლახურაშვილი
აკვილო თართაშვილი
ზურა თულამაური
გვიგოლ ვავანი
დოხუია ყვიშეთე
ბელეკოგიძე
ვატოთმე გიგაურე
დივიდ ხოუხაშველი
მავავაკ ვაყაძე
გაჯი ღუბარიძე
კლიგორ ვილამაშვილი
მივიკო ამამიშვილი
ომარ იოლათაშვილი
ანიტო ბერაქავი
იოსი ფლამაჩაშვილი
ლავიზ გხიანიძე
ჟერებ ელამედავამიანი მირბელიანი
ოლატორ გუგიანი
ალია ოთაბაძე
გორგელ ორჩაბაშვილი
დვირასგი ფობრეთავი
თამიქულ ბიყოდაძე
გიონგი ეუურიანიძე
იოჟაბ როფოკავაშვილი
ანიო თულანიძე
გორე კარდაშვილი
ახურა თეჭმანიძე
გიარგი თუნაშვილი
ანიო გიქლაჩაური
