Sampled text is:
ჯვილოძე
თავან დერეილი
ელიკონ კართქოვე
კანტლიონ რიკსქაშვილი
გველე Vჩთაგიძე
ლადიან გამექონთეშვილი
ლოტინე ნთოდოშვილი
გიოლგვი არბააშვილი
გარსა ლუჩაშვილი
თედა მანატი
მეზნან ბადოსელი
მარტა მახადენია
აურაზგრ ბადიაძე
მადრა მარდაშვილი
გიოგილი მაპიონი
სონიკელიზანი გორგიონირერი
ასსანო გიმაფაური
ნიგოლიტი ურაჰოთა მოდზენი
ავაკვან პაბიშვილი
მონს გაბიშაშვილიშვილი
დიდი  ჭოაშვიძე
ნიკო შავიოშვილი
ნადრინ არბერეშვილი
ნიფოლ ვარისელი
ელიკორ მემჩათერინონგბანინიძე
დამას ფოსურიშვილი
გიმრი ტასდილი
ობარხი ვაწოშვილი
დოლი ჩრილიაშვილი
გამონ შვირიძე
ონეს ტიმაშვილი
გრიგლოილაზის ბსელრია
გიორგი ფაზველი
ზიხტინე სასანაძე
იოკელ II
სატდა ამთთიაძე
პარა გიმაანიძე
იანეზ Iწგარაძე
ზინა გვამავიძე
რანგი მავანიშვილი
იანგორ ადვინიბე
აბსინე სირხელი
ლენტან ერჩთუქაშვილა
დავით ავითთავი
ზისტიკობ ქავია
ნიგოლო ზაზთელი
დატითნი სორხელი
მანთა მადსიშვილი
არგიქ არმემიძსძე
ზიკო ბეწდიია
ერლე ბარაძე
იანე აბეანიძე
მევრენ კორეკია
ნე ერდელიძე
ალტისა
მარდია
სივონ  ეუნძე
სისელ ჩვოლეონი
ხეისა ნადაშვიი
ანდე მევაშვილო
ელუან რედელიშვილი
დელო თეთაშვილი
იეკლებ მურსიანოფი
გუჩილი მომყეზიანითე
ტამა ხიხელსანდი
ნოკგოლ ოვონიძე
იაკისე ლოტოსე
დადო ბარდიონია
ართემრას ლამაშვიძ
ანაიკობე ობთახურაძე
გტიტ გარავაშვილი
ჟანი ურაცალიძე
თახსან კერეძე
ზანა კაბონანი
ნუდო ფვერიძე
გიოდა მაგიძე
